ANNO,CDPELL,CDSOTSEZ,CDGRUPAR,DATAACC,ACCONTO,NRRICEV,TIMESTP
2008,73,17,000271,20080717,   105.00,907      ,20080729230926849
2008,73,17,000271,20080719,   235.00,917      ,20080725085639905
2008,73,17,000280,20080610,  1340.00,630      ,20080610203634435
2008,73,17,000280,20080612,   235.00,640      ,20080613080240251
2008,73,17,000280,20081013,   100.00,1353     ,20081018090416131
2008,73,17,000290,20080624,   590.00,700      ,20080729232111134
2008,73,17,000292,20080419,   165.00,431      ,20080419175540804
2008,73,17,000292,20080705,  1402.50,764      ,20080707180442676
2008,73,17,000301,20080524,   670.00,562      ,20080527174919698
2008,73,17,000326,20080624,   105.00,702      ,20080628185439212
2008,73,17,000341,20080716,  1005.00,896      ,20080716172541552
2008,73,17,000534,20080717,   210.00,912      ,20080729230754549
2008,73,17,000534,20080827,   210.00,1118     ,20080827232609513
2008,73,17,000625,20080527,   755.00,569      ,20080527155036121
2008,73,17,000625,20080701,   670.00,740      ,20080702100442854
2008,73,17,000660,20080904,   335.00,1172     ,20080904175304316
2008,73,19,000094,20080805,   210.00,1041     ,20080808074327934
2008,73,23,000023,20080606,  3000.00,banca    ,20080613080400021
2008,73,28,000641,20080916,  2880.00,banca    ,20081003145418240
2008,74,01,000001,20080805,   235.00,1032     ,20080808073738975
2008,74,15,000015,20080513,   312.50,505      ,20081105102354963
2008,74,15,000015,20080805,   350.00,1029     ,20080808073435939
2008,74,15,000015,20080806,   350.00,1030     ,20080808073510919
2008,74,15,000015,20080807,   700.00,1040     ,20080808074218482
2008,74,15,000363,20080709,   335.00,776      ,20080709104059281
2008,74,17,000017,20080513,   357.50,505      ,20081105102544267
2008,74,17,000031,20080508,   905.00,486      ,20080509160004797
2008,74,17,000031,20080701,   432.50,741      ,20080702100409446
2008,74,17,000040,20080610,   117.50,629      ,20080610203540348
2008,74,17,000040,20080626,   670.00,716      ,20080628184201850
2008,74,17,000040,20080805,   235.00,1025     ,20080808073032029
2008,74,17,000080,20080507,   335.00,475      ,20080506184823666
2008,74,17,000080,20080703,   335.00,751      ,20081031173032629
2008,74,17,000080,20080717,   210.00,903      ,20080722163253279
2008,74,17,000092,20080805,   235.00,1039     ,20080808074106703
2008,74,17,000102,20080805,   210.00,1023     ,20080808072855839
2008,74,17,000107,20080805,  2380.00,1019     ,20080808072514787
2008,74,17,000113,20080513,   335.00,529      ,20081109145342527
