ANNO,CDPELL,CDBUS,FLAGAR,POSTO,CDSOCMZ,TMESTP
2007,08,2,A,016,000001546,20070719175642765
2007,08,2,A,017,000002909,20070719175659234
2007,08,2,A,018,000001515,20070719175713968
2007,08,2,A,019,000002244,20070719175726937
2007,08,2,A,020,000001995,20070719175745015
2007,08,2,A,021,000001545,20070719175757062
2007,08,2,A,022,000001463,20070719175802093
2007,08,2,A,023,000002695,20070719175832859
2007,08,2,A,025,000001107,20070719175853562
2007,08,2,A,026,000001212,20070719180226421
2007,08,2,A,027,000001164,20070719180238515
2007,08,2,A,030,000001044,20070719180349328
2007,08,2,A,031,000001387,20070719180355281
2007,08,2,A,032,000001354,20070719180410593
2007,08,2,A,033,000001513,20070719180418500
2007,08,2,A,034,000002018,20070719180426437
2007,08,2,A,036,000001034,20070719180437031
2007,08,2,R,001,000001706,20070719175313890
2007,08,2,R,003,000001705,20070719175347828
2007,08,2,R,004,000001200,20070719175404562
2007,08,2,R,005,000002877,20070719175412531
2007,08,2,R,006,000001246,20070719175423515
2007,08,2,R,008,000002878,20070719175547140
2007,08,2,R,010,000001080,20070719175629140
2007,08,2,R,011,000001546,20070719175642765
2007,08,2,R,012,000002909,20070719175659234
2007,08,2,R,013,000001515,20070719175713968
2007,08,2,R,014,000002244,20070719175726937
2007,08,2,R,015,000001995,20070719175745015
2007,08,2,R,016,000001545,20070719175757062
2007,08,2,R,017,000001463,20070719175802093
2007,08,2,R,018,000002695,20070719175832859
2007,08,2,R,020,000001107,20070719175853562
2007,08,2,R,021,000001212,20070719180226421
2007,08,2,R,022,000001164,20070719180238515
2007,08,2,R,025,000001044,20070719180349328
2007,08,2,R,026,000001387,20070719180355281
2007,08,2,R,027,000001354,20070719180410593
2007,08,2,R,028,000001513,20070719180418500
2007,08,2,R,029,000002018,20070719180426437
2007,08,2,R,031,000001034,20070719180437031
2007,08,3,A,001,000002228,20070719180450203
2007,08,3,A,002,000001559,20070719180456984
2007,08,3,A,003,000001199,20070719180503656
2007,08,3,A,004,000001729,20070719180510968
2007,08,3,A,005,000002733,20070719180516531
2007,08,3,A,006,000001228,20070719180524250
2007,08,3,A,007,000002264,20070719180532921
2007,08,3,A,008,000002024,20070719180536812
2007,08,3,A,009,000002289,20070719180544468
2007,08,3,A,010,000001702,20070719180550843
2007,08,3,A,011,000002025,20070719180553921
2007,08,3,A,013,000002023,20070719180606968
2007,08,3,A,014,000001088,20070719180614171
2007,08,3,A,016,000001829,20070719180633265
2007,08,3,A,017,000001134,20070719180641390
2007,08,3,A,018,000001148,20070719180652718
2007,08,3,A,019,000001106,20070719180659421
2007,08,3,A,020,000002734,20070719180706640
2007,08,3,A,021,000001405,20070719180710390
2007,08,3,A,022,000001211,20070719180716968
2007,08,3,A,023,000001403,20070719180724328
2007,08,3,A,024,000001103,20070719180728859
2007,08,3,A,025,000001125,20070719180735468
2007,08,3,A,026,000001105,20070719180741921
2007,08,3,A,029,000001516,20070719180805812
2007,08,3,A,030,000001116,20070719180809468
2007,08,3,A,031,000001389,20070719180826796
2007,08,3,A,032,000001167,20070719180834093
2007,08,3,A,033,000001395,20070719180841250
2007,08,3,A,034,000001368,20070719180846937
2007,08,3,A,035,000001542,20070719180850312
2007,08,3,A,036,000001096,20070719180857734
2007,08,3,A,037,000001432,20070719180904140
2007,08,3,A,038,000001210,20070726162526250
